name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
Player 184,ARGENTINA,BELGIUM,BRAZIL,ENGLAND,FRANCE,PORTUGAL,GERMANY,SPAIN,BELGIUM,BELGIUM
Player 185,ARGENTINA,PORTUGAL,ARGENTINA,ARGENTINA,MEXICO,DENMARK,URUGUAY,URUGUAY,SENEGAL,SENEGAL
Player 186,MOROCCO,PORTUGAL,MOROCCO,USA,USA,ARGENTINA,ARGENTINA,ARGENTINA,PORTUGAL,PORTUGAL
Player 187,ARGENTINA,BELGIUM,ARGENTINA,ARGENTINA,NETHERLANDS,URUGUAY,BRAZIL,BRAZIL,SERBIA,ENGLAND
Player 188,NETHERLANDS,PORTUGAL,NETHERLANDS,ARGENTINA,ARGENTINA,ENGLAND,ENGLAND,FRANCE,FRANCE,CANADA
Player 189,NETHERLANDS,ARGENTINA,POLAND,POLAND,DENMARK,NETHERLANDS,DENMARK,SENEGAL,SENEGAL,ARGENTINA
Player 190,ARGENTINA,FRANCE,ARGENTINA,NETHERLANDS,NETHERLANDS,GERMANY,ARGENTINA,BRAZIL,BRAZIL,BRAZIL
Player 191,NETHERLANDS,URUGUAY,NETHERLANDS,NETHERLANDS,NETHERLANDS,WALES,WALES,WALES,WALES,CROATIA
Player 192,SENEGAL,POLAND,SENEGAL,FRANCE,ARGENTINA,ARGENTINA,BRAZIL,PORTUGAL,BRAZIL,GERMANY
Player 193,ARGENTINA,GERMANY,BRAZIL,GERMANY,BELGIUM,ENGLAND,FRANCE,PORTUGAL,ARGENTINA,BRAZIL
Player 194,BRAZIL,SERBIA,BRAZIL,BRAZIL,BRAZIL,FRANCE,FRANCE,FRANCE,IRAN,SENEGAL
Player 195,ARGENTINA,CANADA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,FRANCE,FRANCE,BRAZIL,BRAZIL
Player 196,ARGENTINA,ENGLAND,ARGENTINA,CROATIA,MEXICO,USA,SERBIA,PORTUGAL,FRANCE,AUSTRALIA
Player 197,ENGLAND,DENMARK,ENGLAND,URUGUAY,PORTUGAL,BRAZIL,BRAZIL,USA,USA,ARGENTINA
Player 198,FRANCE,CROATIA,FRANCE,FRANCE,FRANCE,CROATIA,COSTA RICA,ARGENTINA,BELGIUM,BELGIUM
Player 199,DENMARK,ENGLAND,NETHERLANDS,SOUTH KOREA,FRANCE,FRANCE,DENMARK,NETHERLANDS,CANADA,PORTUGAL
Player 200,PORTUGAL,MEXICO,PORTUGAL,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,SENEGAL,GERMANY,SPAIN
Player 201,ARGENTINA,GHANA,ARGENTINA,DENMARK,DENMARK,BELGIUM,BELGIUM,URUGUAY,GERMANY,SENEGAL
Player 202,ECUADOR,PORTUGAL,USA,POLAND,DENMARK,GHANA,GHANA,PORTUGAL,NETHERLANDS,NETHERLANDS
